Species,Taxa2,Taxa,Class,Order,Family,Genus,Commercial,Origin,Online link,Habitat
Lepidotrigla cavillone,Fish,Osteichthyes,Actinopterygii,Scorpaeniformes,Triglidae,Lepidotrigla,N,N,,Demersal fish
Lesueurigobius suerii,Fish,Osteichthyes,Actinopterygii,Perciformes,Gobiidae,Lesueurigobius,N,N,,Demersal fish
Lithognathus mormyrus,Fish,Osteichthyes,Actinopterygii,Perciformes,Sparidae,Lithognathus,Y,N,,Demersal fish
Macroramphosus scolopax,Fish,Osteichthyes,Actinopterygii,Syngnathiformes,Centriscidae,Macroramphosus,N,N,https://www.fishbase.se/summary/333,Demersal fish
Merluccius merluccius,Fish,Osteichthyes,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Y,N,https://www.fishbase.se/summary/Merluccius-merluccius.html,Demersal fish
Microchirus hispidus,Fish,Osteichthyes,Actinopterygii,Pleuronectiformes,Soleidae,Microchirus,N,N,,Demersal fish
Microchirus ocellatus,Fish,Osteichthyes,Actinopterygii,Pleuronectiformes,Soleidae,Microchirus,N,N,,Demersal fish
Mullus barbatus,Fish,Osteichthyes,Actinopterygii,Perciformes,Mullidae,Mullus,Y,N,,Demersal fish
Mullus surmuletus,Fish,Osteichthyes,Actinopterygii,Perciformes,Mullidae,Mullus,Y,N,,Demersal fish
Mustelus mustelus,Fish,Chondrichthyes,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,N,N,https://fishbase.mnhn.fr/summary/Mustelus-mustelus,Demersal fish
Mycteroperca rubra,Fish,Osteichthyes,Actinopterygii,Perciformes,Serranidae,Mycteroperca,Y,N,,Demersal fish
Myliobatis aquila,Fish,Chondrichthyes,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,N,N,,Pelagic fish
Nemipterus randalli,Fish,Osteichthyes,Actinopterygii,Perciformes,Nemipteridae,Nemipterus,Y,I,,Demersal fish
Oblada melanura,Fish,Osteichthyes,Actinopterygii,Perciformes,Sparidae,Oblada,Y,N,,Demersal fish
Ophidion barbatum,Fish,Osteichthyes,Actinopterygii,Ophidiiformes,Ophidiidae,Ophidion,N,N,,Demersal fish
Ostorhinchus fasciatus,Fish,Osteichthyes,Actinopterygii,Kurtiformes,Apogonidae,Ostorhinchus,N,I,,Demersal fish
Oxyurichthys petersii,Fish,Osteichthyes,Actinopterygii,Perciformes,Gobiidae,Oxyurichthys,N,I,,Demersal fish
Pagellus acarne,Fish,Osteichthyes,Actinopterygii,Perciformes,Sparidae,Pagellus,Y,N,,Demersal fish
Pagellus erythrinus,Fish,Osteichthyes,Actinopterygii,Perciformes,Sparidae,Pagellus,Y,N,,Demersal fish
Pagrus auriga,Fish,Osteichthyes,Actinopterygii,Perciformes,Sparidae,Pagrus,Y,N,,Demersal fish
